Timepoint,District ID,School ID,Teacher ID,Condition,Obs. Entry,ESL Strategy,Curriculum,Physical Group,Activity Structure,Mode,Language Content,Lang. of Instruction(T),Lang. of Instruction(S),Round
:00-:20,1,1011,10112,1,1,10,14,5,8,18,3,2,2,2
:20-:40,1,1011,10112,1,2,10,14,5,8,18,4,2,2,2
:40-1:00,1,1011,10112,1,3,10,14,5,8,3,4,2,5,2
1:00 - 1:20,1,1011,10112,1,4,10,14,5,8,3,3,2,5,2
1:20-1:40,1,1011,10112,1,5,10,14,5,10,18,4,2,2,2
1:40-2:00,1,1011,10112,1,6,10,14,1,18,3,2,2,5,2
2:00 - 2:20,1,1011,10112,1,7,10,14,1,18,3,2,2,5,2
2:20-2:40,1,1011,10112,1,8,10,14,5,10,18,4,2,2,2
2:40-3:00,1,1011,10112,1,9,10,14,5,10,3,4,2,5,2
3:00 - 3:20,1,1011,10112,1,10,10,14,5,8,18,4,2,2,2
3:20-3:40,1,1011,10112,1,11,10,14,1,10,15,4,2,2,2
3:40-4:00,1,1011,10112,1,12,10,14,1,8,3,4,2,5,2
4:00 - 4:20,1,1011,10112,1,13,1,14,1,8,3,4,2,5,2
4:20-4:40,1,1011,10112,1,14,10,14,1,14,3,4,2,5,2
4:40-5:00,1,1011,10112,1,15,6,14,1,15,15,4,2,2,2
10:00 - 10:20,1,1011,10112,1,16,1,14,5,8,18,4,2,2,2
10:20-10:40,1,1011,10112,1,17,1,14,5,8,3,4,2,5,2
10:40-11:00,1,1011,10112,1,18,10,14,5,10,15,4,2,2,2
11:00 - 11:20,1,1011,10112,1,19,10,14,1,10,18,4,2,2,2
11:20-11:40,1,1011,10112,1,20,10,14,1,1,3,4,2,5,2
11:40-12:00,1,1011,10112,1,21,10,14,1,18,3,2,2,5,2
12:00 - 12:20,1,1011,10112,1,22,3,14,1,1,3,4,2,5,2
12:20-12:40,1,1011,10112,1,23,10,14,1,1,3,4,2,5,2
12:40-13:00,1,1011,10112,1,24,10,14,5,17,3,2,2,5,2
13:00 - 13:20,1,1011,10112,1,25,10,14,1,1,3,4,2,5,2
13:20-13:40,1,1011,10112,1,26,1,14,1,8,3,4,2,5,2
13:40-14:00,1,1011,10112,1,27,10,14,1,14,3,4,2,5,2
14:00 - 14:20,1,1011,10112,1,28,10,14,1,14,3,4,2,5,2
14:20-14:40,1,1011,10112,1,29,10,14,5,10,3,4,2,5,2
14:40-15:00,1,1011,10112,1,30,10,14,5,10,18,4,2,2,2
20:00-20:20,1,1011,10112,1,31,1,14,5,8,18,4,2,2,2
20:20-20:40,1,1011,10112,1,32,10,14,5,8,3,4,2,5,2
20:40-21:00,1,1011,10112,1,33,10,14,5,8,3,4,2,5,2
21:00-21:20,1,1011,10112,1,34,10,14,5,8,18,4,2,2,2
21:20-21:40,1,1011,10112,1,35,10,14,5,8,3,4,2,5,2
21:40-22:00,1,1011,10112,1,36,10,14,5,10,18,4,2,1,2
22:00-22:20,1,1011,10112,1,37,10,14,5,6,18,4,2,2,2
22:20-22:40,1,1011,10112,1,38,10,14,1,18,3,2,2,5,2
22:40-23:00,1,1011,10112,1,39,1,14,5,8,3,4,2,5,2
23:00-23:20,1,1011,10112,1,40,10,14,5,10,15,4,2,2,2
23:20-23:40,1,1011,10112,1,41,10,14,1,10,3,4,2,5,2
23:40-24:00,1,1011,10112,1,42,10,14,5,18,3,2,2,5,2
24:00-24:20,1,1011,10112,1,43,3,14,5,8,3,4,2,5,2
24:20-24:40,1,1011,10112,1,44,3,14,5,12,3,4,2,5,2
24:40-25:00,1,1011,10112,1,45,3,14,5,10,15,4,2,2,2
30:00-30:20,1,1011,10112,1,46,10,14,1,6,18,4,2,2,2
30:20-30:40,1,1011,10112,1,47,10,14,1,8,18,4,2,2,2
30:40-31:00,1,1011,10112,1,48,10,14,5,8,18,4,2,1,2
31:00-31:20,1,1011,10112,1,49,10,14,5,14,3,4,2,5,2
31:20-31:40,1,1011,10112,1,50,10,14,5,10,18,4,2,1,2
31:40-32:00,1,1011,10112,1,51,10,14,5,6,18,4,2,2,2
32:00-32:20,1,1011,10112,1,52,10,14,1,10,15,4,2,2,2
32:20-32:40,1,1011,10112,1,53,10,14,1,5,3,4,2,5,2
32:40-33:00,1,1011,10112,1,54,3,14,1,5,3,4,2,5,2
33:00-33:20,1,1011,10112,1,55,10,14,1,18,3,2,2,5,2
33:20-33:40,1,1011,10112,1,56,10,14,1,1,3,4,2,5,2
33:40-34:00,1,1011,10112,1,57,10,14,1,1,3,4,2,5,2
34:00-34:20,1,1011,10112,1,58,3,14,1,5,3,4,2,5,2
34:20-34:40,1,1011,10112,1,59,3,14,1,5,3,4,2,5,2
34:40-35:00,1,1011,10112,1,60,3,14,1,10,18,4,2,2,2
